district,Andaman_and_Nicobar,Andhra_Pradesh,Arunachal_Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Countries_in_Africa,Countries_in_America,Countries_in_Asia_beyond_India,Countries_in_Europe,Countries_in_Oceania,Dadra_and_Nagar_Haveli,Daman_and_Diu,Delhi,Elsewhere_in_the_district_of_enumeration,Goa,Gujarat,Haryana,Himachal_Pradesh,Jammu_and_Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Last_residence_elsewhere_in_India,Madhya_Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Pondicherry,Punjab,Rajasthan,Sikkim,States_in_India_beyond_the_state_of_enumeration,Tamil_Nadu,Total,Tripura,Uttar_Pradesh,Uttaranchal,West_Bengal,Within_the_state_of_enumeration_but_outside_the_place_of_enumeration
Etah,2,41,7,422,3841,25,331,15,3,325,5,17,1,0,2041,422476,3,227,921,66,172,189,60,45,0,699422,1590,285,639,16,3,6,638,2,343,912,2,16509,78,699787,90,260437,478,3033,682913
Mandsaur,0,7509,0,14,434,5,396,0,0,1305,0,0,0,0,125,224230,2,1370,125,8,15,61,122,159,0,396772,99682,904,0,8,0,0,128,0,163,58670,0,72860,53,398077,0,2265,80,244,323912
Sheopur,0,29,1,2,2453,9,430,3,0,209,0,1,0,0,72,91890,0,96,419,0,3,50,4,13,0,149430,32254,218,0,0,0,0,47,0,1249,18241,2,25286,15,149643,0,1639,236,58,124144
Kokrajhar,0,39,23,38228,1880,1,7,0,0,5814,0,1,0,0,20,240749,0,6,37,1,17,657,11,27,0,293368,13,19,293,292,8,34,37,0,16,341,14,14391,13,299183,89,327,0,10169,278977
Srikakulam,352,55078,10,556,677,30,768,9,4,157,1,3,0,0,92,591846,19,542,56,6,37,186,172,238,1,689298,781,318,2,4,3,15,32556,23,61,505,2,42374,1012,689472,1,286,2,3061,646924
Bhavnagar,0,219,1,63,2900,118,167,70,45,1934,7,4,7,93,230,592275,44,160865,211,114,29,1217,254,448,0,782694,1320,5541,4,0,0,0,2902,7,415,2353,0,29554,229,784754,2,9805,51,810,753140
Kurung_Kumey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheohar,1,3,20,175,64946,2,3,1,5,1838,3,2,0,0,98,54507,1,17,47,5,1,378,9,0,0,120981,61,21,1,0,1,3,12,1,162,9,0,1528,6,122830,0,271,6,214,119453
Hamirpur_(Himachal_Pradesh),7,92,8,71,925,391,374,10,3,716,8,0,0,1,886,121715,13,86,416,25911,823,180,63,40,0,162070,271,451,7,11,4,15,89,1,5231,978,7,14444,23,162807,5,2437,262,276,147626
Tumkur,4,48614,7,51,463,14,14,11,13,180,12,1,0,1,121,595584,40,371,124,74,208,185,161237,1682,1,817481,90,663,13,5,1,9,131,19,121,1578,4,60660,5158,817698,12,372,18,492,756821
Tikamgarh,0,12,0,11,141,8,2046,0,4,84,1,0,0,0,215,217431,0,79,32,6,12,37,17,22,0,334626,40228,563,2,0,0,0,779,0,19,255,0,76967,28,334715,0,72476,23,184,257659
Nawada,1,35,0,2024,81494,8,145,36,113,87,338,2,0,1,43,307650,1,50106,55,22,86,8912,946,25,1,458075,26,49,0,1,0,69,83,0,254,34,1,68931,16,458651,1,4524,182,1280,389144
Sindhudurg,0,757,2,21,323,13,25,2,10,250,21,0,0,0,59,307418,11722,978,13,12,45,68,20516,829,1,406886,176,61385,2,1,1,1,264,0,94,537,0,38083,525,407169,1,824,22,251,368803
Begusarai,1,54,6,263,147779,16,51,3,0,266,11,1,1,2,248,428389,0,658,72,8,15,2612,39,84,3,585738,74,53,5,3,0,6,130,1,82,97,3,9570,59,586024,3,1630,530,2761,576168
Fatehpur,1,98,0,91,985,5,882,1,6,44,0,0,0,0,157,474544,0,119,340,110,10,154,12,48,0,587487,2196,451,2,0,1,50,27,1,107,129,0,6395,16,587538,2,106548,144,257,581092
Rajauri,0,26,0,31,130,15,162,0,0,3643,0,1,0,0,44,31321,0,65,178,186,8851,38,29,25,0,42278,108,54,2,0,5,0,36,0,321,41,0,2106,16,45922,4,369,117,104,40172
Dumka,1,19,5,127,28043,0,18,5,3,274,0,0,0,0,38,356000,0,86,28,9,19,58385,24,34,0,477065,49,40,4,1,24,4,221,0,39,132,0,62680,31,477347,6,1021,12,32645,414385
Dakshina_Kannada,26,3444,30,157,908,79,97,142,98,5501,106,21,1,18,752,561355,649,2121,314,87,268,342,103540,73966,17,774849,542,9722,106,27,16,39,618,114,374,1059,9,109954,11403,780730,28,1440,79,1102,664895
Birbhum,10,90,8,376,10226,0,50,4,7,8536,7,2,0,0,148,653583,8,278,54,15,39,43358,28,39,0,870455,134,193,23,26,2,10,501,0,125,535,10,57964,29,879011,109,1513,27,158908,812491
Hassan,5,2020,12,30,187,8,5,3,13,172,6,0,3,0,136,442167,13,99,35,22,26,29,130072,2157,0,583638,83,478,11,3,3,1,79,18,54,1272,5,11399,4095,583833,1,326,10,173,572239
Kinnaur,1,27,4,23,360,143,38,0,10,3336,0,0,0,0,106,15878,1,50,215,6619,137,943,44,99,0,26350,75,57,4,1,3,7,43,0,452,39,1,3853,19,29696,4,511,378,68,22497
Bhandara,5,951,3,65,686,17,9269,6,4,338,0,1,5,5,120,295247,22,872,211,56,57,221,151,304,0,425705,17038,96734,6,5,11,1,381,0,255,566,1,33724,240,426054,5,1514,49,632,391981
Patiala,16,489,23,749,14601,10058,896,50,71,29548,55,11,0,0,5202,295179,12,535,101302,6083,1406,1061,376,581,0,661824,1531,1494,43,19,2,37,1226,8,165535,4905,24,201110,608,691559,10,39307,5463,3043,460714
Jalaun,0,35,3,39,374,3,62,2,45,82,1,2,0,0,201,286156,2,131,45,2101,14,51,12,19,0,404267,20276,683,5,0,0,0,49,0,55,328,1,24707,13,404399,0,93404,70,135,379560
Wardha,0,2131,5,91,794,37,13101,11,2,565,2,0,7,4,272,336959,19,1334,188,47,125,332,291,548,0,568862,11754,195939,33,15,5,21,305,4,260,1195,3,35964,241,569442,11,2198,70,523,532898
Ghaziabad,84,1219,27,1257,43543,893,903,147,65,7418,45,18,105,8,138464,337609,51,2188,20627,2414,2119,6028,812,2822,0,1256994,7661,2798,92,77,21,470,1824,32,11230,8697,50,299586,962,1264687,103,619799,33303,8702,957408
Ashoknagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giridih,0,35,1,50,18085,3,124,9,9,99,5,1,0,1,142,417562,3,197,31,7,26,59078,81,62,2,500910,195,171,6,5,0,7,302,0,66,249,3,24270,14,501033,6,770,15,3611,476640
Dhalai,1,5,9,847,342,0,4,0,0,14741,0,0,0,0,2,34319,1,2,11,16,3,112,4,13,0,48987,6,5,36,22,25,19,94,0,13,58,2,2048,10,63728,12620,112,98,176,46939
Salem,66,1696,5,71,729,6,17,19,30,5214,24,0,1,0,325,547005,22,348,32,11,40,47,5161,5678,0,699887,192,1837,7,2,19,7,246,652,73,1029,8,18959,133923,705174,1,390,6,235,680928
Uttarkashi,0,35,96,101,663,48,33,2,32,2289,20,0,1,1,168,61883,1,39,188,1738,165,359,131,58,0,91674,96,63,14,4,6,89,144,0,174,83,6,9028,60,94017,13,4287,20763,164,82646
Palamu,3,35,8,48,44501,44,1323,29,2,121,7,38,1,0,87,436821,2,364,166,18,4,51206,18,72,0,539635,884,272,2,2,3,1,218,0,88,189,0,51608,19,539832,0,2315,70,851,488027
Bidar,8,19124,6,70,405,55,6,12,10,56,8,2,0,1,110,221409,12,288,215,54,26,59,19231,125,0,292708,117,29599,7,3,0,6,43,1,164,390,4,52068,228,292796,2,748,27,165,240640
Buldana,2,1142,6,42,300,25,947,10,0,498,3,5,0,1,139,619142,23,2638,102,44,93,128,278,123,0,868417,13154,224960,8,6,1,2,574,1,316,2254,3,24315,188,868935,3,1410,29,333,844102
