district,Andaman_and_Nicobar,Andhra_Pradesh,Arunachal_Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Countries_in_Africa,Countries_in_America,Countries_in_Asia_beyond_India,Countries_in_Europe,Countries_in_Oceania,Dadra_and_Nagar_Haveli,Daman_and_Diu,Delhi,Elsewhere_in_the_district_of_enumeration,Goa,Gujarat,Haryana,Himachal_Pradesh,Jammu_and_Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Last_residence_elsewhere_in_India,Madhya_Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Pondicherry,Punjab,Rajasthan,Sikkim,States_in_India_beyond_the_state_of_enumeration,Tamil_Nadu,Total,Tripura,Uttar_Pradesh,Uttaranchal,West_Bengal,Within_the_state_of_enumeration_but_outside_the_place_of_enumeration
Satara,9,3466,6,73,881,33,598,22,32,428,126,1,9,33,192,1140182,199,3390,88,73,103,526,36451,944,0,1454900,2005,257982,26,16,2,1,1708,2,206,1816,5,56736,399,1455509,0,2606,124,746,1398164
Umaria,1,94,0,18,795,8,5660,0,0,128,1,0,0,0,44,89818,0,34,49,6,8,331,6,57,0,153082,51961,329,1,0,0,0,183,0,42,98,0,11303,29,153211,2,3126,31,351,141779
Prakasam,31,124091,5,14,122,1,70,2,4,360,8,3,0,0,42,663350,5,48,6,0,28,20,1010,381,0,793418,137,240,1,2,0,0,94,15,16,393,0,5977,3123,793795,1,69,6,97,787441
Nadia,90,215,59,3751,15145,57,328,15,26,503763,40,10,0,2,424,905344,5,222,156,60,209,6953,216,188,0,1221049,458,532,77,143,7,43,3309,0,294,473,45,38573,182,1724903,1391,3299,240,277132,1182476
Gondiya,1,879,1,42,519,21,11153,10,1,1886,0,0,1,0,187,290709,8,1245,221,19,37,267,77,95,0,419409,38786,71413,2,3,1,0,451,0,214,579,2,57287,134,421306,7,1480,41,814,362122
Karur,10,440,53,26,16,2,1,23,11,3203,14,0,1,0,73,162555,1,49,3,5,5,0,789,1224,1,259130,43,297,1,4,0,0,116,217,1,35,0,3610,92965,262381,4,53,0,140,255520
Chennai,1744,57957,111,835,3111,150,129,412,855,13346,440,97,27,7,6411,0,288,5284,591,145,447,228,23713,60353,14,921961,2037,14400,188,58,57,79,2116,11088,993,20003,48,223474,698487,937111,34,3966,113,6749,698487
Karimganj,1,17,96,23428,857,2,1,2,0,15255,1,0,0,0,28,172701,1,4,18,7,6,22,57,23,0,209070,20,21,149,946,151,308,48,26,62,294,0,12941,30,224328,8571,357,7,811,196129
Jammu,27,1438,116,870,6241,801,10442,15,20,13353,38,1,0,5,2581,328179,16,656,3578,4388,138410,660,776,925,0,553835,7466,1873,73,64,17,52,2660,2,23777,2902,33,87246,1132,567264,36,9421,1929,2289,466589
Jaintia_Hills,0,6,15,1724,475,0,3,0,1,586,1,0,0,0,3,23469,3,1,7,0,2,216,3,11,0,28546,1,7,86,1825,44,6,4,0,15,135,4,3252,2,29134,191,123,0,165,25294
Dhamtari,0,145,1,903,280,32,70947,0,4,498,0,0,0,0,68,145938,0,307,251,4,30,176,24,60,0,226336,2180,1434,1,3,0,0,1552,1,178,641,0,9451,47,226838,1,800,31,301,216885
Mathura,17,296,29,592,3883,102,433,32,20,1741,29,5,2,0,4407,267770,15,804,23871,203,176,522,146,335,0,546202,5774,1352,54,51,0,2,915,6,1156,55443,8,109382,234,548029,114,169050,1687,6753,436820
Bhind,0,143,3,47,423,2,616,0,0,46,2,0,0,0,371,253199,0,286,83,11,21,55,10,52,0,398999,64723,433,0,1,0,1,34,0,232,1170,1,81077,12,399047,2,76561,57,450,317922
Muktsar,0,19,0,40,1899,224,56,1,14,8495,5,1,0,0,602,113575,4,65,14992,296,93,206,26,135,0,265306,209,194,2,0,0,0,306,2,108815,14906,0,42916,27,273822,0,7961,328,324,222390
Panchkula,18,522,21,509,7575,46954,626,67,116,4608,84,4,0,0,5150,37717,28,440,51266,17493,1585,1251,325,327,0,263524,1281,1438,28,71,3,47,583,9,41139,2810,43,174541,1198,268403,9,36567,4528,1963,88983
Varanasi,1,402,34,330,21805,42,1136,35,32,2306,32,114,0,0,751,514463,11,726,397,123,133,5307,194,424,0,722931,1843,1249,67,40,12,15,474,4,758,1083,12,44194,379,725450,55,164274,928,5459,678737
Osmanabad,8,1386,1,20,124,6,69,3,1,47,2,3,0,0,37,316662,31,467,41,38,51,51,15813,67,0,492616,244,156256,1,0,2,0,17,0,54,535,4,19698,114,492672,1,355,7,154,472918
Thoothukkudi,12,258,3,13,46,6,0,10,9,1522,2,1,0,0,49,310952,5,47,11,0,8,6,190,1243,3,372980,34,445,1,0,0,1,19,74,17,45,0,2669,59359,374524,1,78,6,48,370311
Nalgonda,20,154046,5,33,1679,4,37,2,7,270,2,12,0,0,37,896046,0,187,11,9,37,107,783,688,3,1058628,155,1181,2,6,0,1,1256,3,73,374,1,8536,1502,1058921,7,199,1,135,1050092
Bharuch,12,832,5,935,8905,80,361,105,35,716,73,3,33,80,336,367991,53,139675,425,219,384,1140,718,2497,0,577810,5378,22105,160,4,0,0,948,15,551,6043,4,70144,799,578742,157,14443,664,1858,507666
Bathinda,16,572,35,786,6893,949,457,18,32,3382,12,5,0,1,2040,197220,44,614,31757,1682,1006,318,364,370,0,450189,917,1262,19,56,0,21,456,6,168714,15586,38,84255,424,453638,24,13846,1993,1703,365934
Sant_Ravidas_Nagar_Bhadohi,0,15,0,34,3378,0,831,12,5,207,4,4,0,0,85,191189,1,112,58,8,23,700,16,157,0,322535,1778,467,0,1,2,1,167,0,69,149,0,9033,28,322767,4,122313,77,872,313502
Chhatarpur,0,101,1,43,409,44,1041,9,1,101,1,0,0,0,710,263525,3,66,130,50,37,188,48,67,0,411724,78925,371,5,0,0,3,137,0,448,204,1,69274,95,411836,3,64746,93,230,342450
Sawai_Madhopur,0,52,0,14,580,18,20,58,6,208,1,14,0,1,598,190948,2,568,412,29,15,123,18,113,0,302972,5426,345,5,1,2,1,46,13,336,97796,0,14228,42,303259,1,5006,102,339,288744
North_Twenty_Four_Parganas,322,4100,371,13757,168715,359,2422,87,193,715019,184,15,9,10,3651,1662381,74,1717,1483,189,741,27682,1067,1043,3,3029987,2960,3369,202,924,90,327,22658,17,4043,5915,178,329894,1620,3745485,5278,53274,1324,1037712,2700093
Nayagarh,1,76,0,7,78,4,29,0,0,24,0,1,0,0,10,212225,0,16,19,3,81,69,5,19,0,256168,25,17,1,0,0,2,43010,2,11,87,0,933,38,256193,1,59,0,273,255235
Tiruchirappalli,76,2048,31,175,240,35,9,65,68,14880,23,10,1,0,462,418778,20,428,31,11,73,37,3040,7810,6,713151,393,1346,13,11,11,23,228,2012,143,879,9,20486,273887,728197,12,499,8,366,692665
Purba_Champaran,0,28,8,589,127343,16,23,10,26,35501,7,9,0,2,203,845667,1,232,137,12,23,2987,31,52,0,982044,127,133,11,6,7,29,76,1,198,240,5,9034,28,1017597,4,2492,19,1314,973010
Pulwama,0,25,2,14,102,8,2,0,0,7,1,0,0,0,11,109628,6,20,71,33,11531,32,13,33,0,122317,53,201,0,4,1,4,28,0,66,57,4,1158,17,122325,5,186,19,141,121159
Mahbubnagar,16,99917,12,8,708,3,11,1,11,115,4,1,0,0,27,838671,27,246,38,20,19,46,20660,310,0,965819,95,2085,1,3,0,0,1027,2,31,373,0,27231,793,965951,1,539,7,123,938588
Anantapur,21,87644,7,34,217,23,72,18,22,238,41,7,2,1,122,702434,17,147,242,31,61,19,91827,1083,0,890962,169,908,2,3,0,3,229,12,54,989,15,100884,3855,891288,1,339,9,370,790078
Bargarh,4,5506,2,46,2049,16,22461,17,3,187,0,3,0,0,55,300181,0,289,381,9,19,1107,62,96,0,426279,636,156,2,2,11,0,91357,4,118,327,3,34741,129,426489,0,480,6,765,391538
Mokokchung,1,27,39,2138,1031,5,7,1,15,352,2,0,0,0,20,18554,2,60,25,7,15,285,7,74,0,25726,18,31,133,24,12,2057,85,5,13,147,3,5115,66,26096,40,309,180,306,20611
Sonipat,0,180,14,221,11126,746,9983,5,9,9064,13,0,12,7,35431,168572,16,193,147527,801,183,504,64,107,0,439688,1369,561,6,6,1,4,395,2,5012,4675,2,123589,97,448779,0,47091,2347,2433,316099
Jind,0,90,2,78,6734,464,137,4,6,4223,8,1,1,0,2648,149630,0,111,201559,239,98,152,32,42,0,386791,337,199,1,1,1,2,131,0,10358,3304,1,35602,45,391033,3,9058,608,725,351189
Ranchi,44,1179,50,890,137027,130,2476,36,54,2602,39,11,2,2,923,446368,28,1926,863,230,444,120816,420,1270,2,770015,1207,1289,102,77,37,50,4966,10,1634,2596,29,202831,495,772767,83,10805,503,31042,567184
Pithoragarh,4,40,10,153,1102,24,106,4,2,4642,12,1,0,0,427,130926,7,101,320,328,320,290,61,84,0,157795,184,260,52,17,16,103,88,1,267,206,20,10223,68,162456,15,5223,16646,326,147572
Uttara_Kannada,9,2926,299,128,583,16,35,37,35,4947,197,9,3,3,290,400709,4010,695,135,1045,762,205,124696,4008,0,556032,411,7880,89,13,9,8,552,20,192,1352,52,30627,2802,561257,4,1102,298,691,525405
Bhojpur,0,9,2,100,94461,7,28,1,0,91,1,0,1,1,75,446480,0,714,38,4,20,2634,17,46,0,555797,255,73,10,2,0,0,107,0,36,74,4,14856,6,555890,1,9054,8,1530,540941
Jamnagar,62,1093,4,243,2593,125,367,496,30,2592,99,3,10,169,504,478931,140,124807,720,274,210,383,806,1833,3,635971,2100,7511,19,5,3,3,442,16,729,4168,4,32233,1355,639191,15,4444,397,1483,603738
Hardwar,12,249,21,544,6029,454,1021,21,23,5544,54,8,2,1,4456,183539,16,754,6949,1178,547,1333,260,340,0,412441,1968,895,37,30,9,676,544,9,7441,2269,19,198627,305,418091,44,157037,30275,3178,213814
Bahraich,2,19,8,3353,4122,16,99,3,76,5497,3,4,2,1,145,417927,2,1555,265,12,8,694,18,30,0,502579,150,159,2,4,0,0,47,2,658,177,0,12464,11,508162,0,72188,250,653,490115
Navsari,4,581,0,35,1907,12,284,308,145,923,205,45,126,202,93,334858,17,106876,97,299,80,518,634,624,0,504349,2569,34379,6,4,1,0,423,22,217,6570,4,62615,464,505975,18,11341,61,1023,441734
Muzaffarpur,31,2513,78,2290,250280,16,2647,1392,180,1917,360,27,0,56,540,610204,20,673,4302,68,84,8865,203,136,0,976990,323,4146,31,24,48,1516,356,146,1035,1938,6,116506,345,980866,259,72953,8204,2654,860484
Kendujhar,2,222,0,50,4399,11,345,11,4,420,4,3,1,0,61,338688,15,190,87,49,10,20838,73,140,0,451041,143,87,3,6,0,5,80775,4,384,271,7,31578,76,451483,7,1470,36,2586,419463
Nagapattinam,16,276,3,35,83,9,5,8,5,1365,15,6,0,0,29,254534,1,54,4,8,12,1,159,343,0,335063,33,237,0,3,0,0,22,5735,14,303,0,7454,73075,336462,1,24,0,44,327609
Meerut,6,508,38,2876,7210,373,493,73,14,6734,10,6,7,0,14841,328667,27,574,9335,1081,879,1538,292,657,0,690355,2040,1540,101,44,3,137,570,17,6938,2974,25,73389,443,697192,51,288299,14602,3169,616966
Hingoli,0,1342,1,4,39,4,42,1,2,44,0,0,0,0,23,196407,4,238,13,2,4,7,203,15,0,321087,416,121511,0,0,0,0,18,0,14,419,0,3169,79,321134,0,237,3,42,317918
Upper_Siang,0,3,1809,1141,402,0,65,1,0,357,0,0,0,0,6,3953,0,1,11,8,551,204,5,33,0,9058,2,2,3,11,0,2,416,0,4,3,7,3296,1,9416,33,200,21,161,5762
Tamenglong,0,0,1,16,83,0,0,0,0,8,0,0,0,0,3,25743,0,0,8,1,0,10,0,8,0,26766,1,0,814,2,4,34,0,0,0,5,0,209,0,26774,3,19,2,9,26557
Bijnor,3,91,0,123,3036,106,68,5,1,2026,5,3,1,0,2241,576541,3,223,1983,302,81,1243,2820,159,0,700508,295,704,12,4,1,27,106,16,6090,732,1,43699,45,702548,12,80268,20601,2570,656809
Perambalur,2,150,12,5,2,1,0,7,2,2490,1,0,0,0,38,95228,2,39,2,2,2,0,227,484,0,137525,91,73,0,4,1,1,24,67,4,51,4,1529,40768,140025,0,239,1,1,135996
Shahdol,2,660,0,148,7946,18,40305,3,0,551,0,6,0,2,166,319191,1,132,246,34,13,2592,71,462,0,485868,86677,1166,2,9,1,3,1909,0,400,700,0,80000,101,486428,3,20772,161,1975,405868
Shimoga,1,4467,3,18,214,9,24,3,7,153,14,2,6,5,97,294760,166,432,75,34,30,64,196483,4654,0,517856,115,1025,6,1,1,1,293,45,76,1643,1,26613,12446,518035,0,288,13,360,491243
Kathua,0,73,8,54,1766,105,1516,2,1,1153,1,0,0,0,226,109583,2,104,326,1998,23194,225,39,55,0,154655,394,202,8,0,1,4,658,0,11615,428,3,21878,55,155812,2,1563,170,278,132777
Barwani,0,246,1,6,328,9,348,1,0,79,1,0,3,0,33,210094,2,1411,39,6,8,54,27,94,0,297555,54659,27803,0,2,0,0,53,0,62,1274,0,32802,40,297636,0,797,10,146,264753
Tawang,1,23,1788,1044,417,3,1,1,0,523,13,1,0,0,15,3633,2,11,25,29,41,100,66,61,0,8573,17,575,21,22,13,14,9,0,26,120,28,3152,27,9111,13,220,49,159,5421
Gorakhpur,21,136,28,692,12967,54,2240,11,6,2436,11,6,2,0,722,665633,12,303,370,60,144,7864,163,155,0,910440,1152,1069,30,28,3,136,274,4,712,543,5,34594,61,912910,15,210213,911,3718,875846
Harda,0,66,0,16,236,5,433,0,0,230,0,0,0,0,97,92112,3,535,39,0,5,11,25,44,0,169542,71119,2779,0,1,0,0,24,0,41,400,1,6311,24,169775,0,1364,26,136,163231
Anuppur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East_Sikkim,3,134,100,849,7020,28,79,7,0,8929,7,4,0,0,168,51171,4,67,531,230,277,240,91,247,0,93652,98,123,126,162,11,59,224,4,169,580,14098,28383,79,102599,28,1184,321,15147,65269
Pali,0,413,0,30,1083,13,62,5,2,586,11,7,0,1,322,404790,8,7022,478,69,14,104,588,385,0,567755,1658,2989,10,3,0,1,108,3,308,143111,0,19854,520,568366,11,3079,63,509,547901
Phek,0,22,16,671,265,0,14,7,2,456,8,4,0,0,12,9189,6,8,26,23,23,132,17,103,0,13828,3,17,458,14,19,2135,28,1,22,133,5,2504,46,14305,15,186,126,93,11324
Anand,7,437,0,40,1268,18,113,437,170,651,65,5,12,8,276,532735,31,190395,299,126,17,109,327,912,0,747928,2414,5058,4,1,0,2,154,15,377,5608,4,24798,456,749256,3,5874,89,739,723130
Bid,1,1874,0,17,125,6,50,6,1,121,0,1,3,0,70,517335,16,809,60,13,28,27,1534,177,0,699044,468,173999,0,4,0,2,56,1,26,1386,6,7710,146,699173,6,542,21,236,691334
Farrukhabad,4,65,5,268,2824,19,155,4,2,278,1,1,0,0,732,163877,7,133,714,70,73,289,42,75,0,353468,2868,255,205,15,0,152,377,0,650,612,0,12235,64,353754,20,177356,511,1031,341233
Washim,0,674,1,18,119,6,421,1,1,219,2,0,0,3,20,203019,9,497,24,9,14,14,136,100,0,353930,1320,146240,10,0,0,1,70,4,51,662,0,4671,51,354153,0,358,4,75,349259
Samastipur,0,77,4,376,264215,15,20,1,0,920,3,0,1,0,546,598970,0,267,172,11,26,4606,20,19,0,875765,104,103,10,15,1,18,242,0,269,220,9,12580,17,876689,5,1952,171,3284,863185
Lakhisarai,1,10,0,490,99889,5,12,1,10,51,3,0,0,0,74,101985,0,413,64,1,10,2865,8,0,13,208206,38,32,0,0,1,1,54,0,58,27,0,6332,8,208271,3,324,8,1812,201874
Ambala,52,1038,50,879,9536,6124,828,37,27,20154,29,9,1,0,7152,106092,56,1032,101565,7120,1894,685,723,541,0,374427,1845,2338,22,99,7,74,547,3,68874,4127,40,166770,792,394683,21,41683,6186,2401,207657
Junagadh,6,187,2,16,1316,9,88,146,24,955,13,0,12,1608,117,807208,31,102233,146,101,23,90,144,1195,0,924242,1479,3786,2,3,0,0,100,13,138,1403,0,14801,318,925380,2,1940,41,485,909441
Jaisalmer,3,169,10,85,501,39,44,1,1,2090,1,0,0,0,287,65921,1,676,850,119,185,235,139,220,0,138715,608,783,13,8,2,3,86,0,849,64491,0,8303,204,140808,31,1502,239,412,130412
Kodarma,0,55,0,41,21546,8,43,4,0,175,3,1,1,0,57,82279,3,188,56,13,22,35056,76,22,0,142123,61,76,4,2,0,8,107,0,128,223,4,24788,13,142306,3,734,10,1284,117335
Kodagu,15,937,5,77,47,4,5,80,20,461,7,5,1,4,49,131872,39,57,18,45,23,30,56343,16250,0,216593,63,205,8,5,5,3,286,54,37,251,10,28378,9434,217166,3,98,8,302,188215
Dibrugarh,7,514,521,51908,9924,57,103,1,5,2282,7,1,0,0,240,248621,12,194,456,65,54,624,130,267,0,325761,344,258,120,433,34,188,568,0,593,899,16,25232,237,328057,756,4717,152,2749,300529
Allahabad,25,404,21,421,13727,89,5101,67,119,975,16,18,0,3,1040,911405,20,515,671,244,236,1729,242,791,0,1144232,24905,1050,41,27,5,9,333,7,740,758,7,57452,184,1145427,34,175375,1335,2738,1086780
Namakkal,45,693,14,22,109,0,7,32,22,4893,13,3,4,0,282,346565,19,179,8,4,15,7,1465,2643,1,497602,104,548,20,1,0,1,42,192,10,179,2,6754,144283,502565,5,52,2,79,490848
Dantewada,1,4586,12,75,1279,20,32933,1,0,613,1,0,0,0,60,118278,2,65,174,33,24,697,452,625,0,175697,2638,1821,3,6,1,4,6741,4,179,850,2,24486,330,176312,11,3001,67,723,151211
Chittoor,23,121840,11,61,313,25,51,33,42,788,12,6,2,0,265,785705,44,223,26,22,52,59,45973,1945,0,1063142,215,1081,1,4,3,8,627,368,94,1756,1,155597,101535,1064023,7,439,25,338,907545
Bankura,9,124,12,262,4277,12,117,5,10,6623,7,1,4,1,87,801892,3,233,59,13,33,9891,25,20,0,996708,138,183,43,5,4,21,959,0,55,209,12,18138,30,1003354,74,1203,20,176678,978570
Papum_Pare,0,137,20198,16231,3317,3,22,1,1,756,0,19,0,0,73,18693,4,12,76,57,31,147,20,819,0,66837,48,12,252,697,32,137,295,3,68,415,52,27946,83,67614,233,1218,200,3252,38891
Rewari,1,374,7,215,4475,249,1286,0,1,2408,1,1,3,0,5115,77830,10,348,92608,332,170,270,54,139,0,260232,1018,496,5,7,3,12,416,0,1556,57303,15,89794,87,262643,42,12691,1239,1856,170438
Jhalawar,0,119,0,10,659,2,19,2,1,218,0,0,0,0,89,216360,3,399,101,24,8,30,33,283,0,343630,79893,448,1,1,0,1,101,0,196,41259,1,86011,62,343851,0,3318,29,181,257619
Nellore,83,125805,5,37,210,6,50,3,33,1248,65,1,3,1,88,731367,23,189,13,7,26,74,1983,1261,0,888741,167,508,23,12,1,9,557,109,67,1626,2,31569,23824,890091,8,298,6,293,857172
Chhindwara,0,469,2,78,2009,24,4532,4,0,562,0,0,0,0,169,421810,7,516,225,28,28,404,97,175,0,558806,73594,39106,6,0,0,2,373,0,368,756,1,63402,188,559373,4,12777,179,879,495404
Mahesana,1,314,0,388,1958,24,61,17,23,414,11,0,1,5,176,569440,20,122779,210,208,31,151,92,419,0,712213,855,1892,4,1,0,5,187,41,238,8820,0,19994,173,712678,44,2878,318,479,692219
Dehradun,39,1124,279,2642,12353,1168,863,209,278,19904,1085,87,7,75,10748,159817,168,1795,8494,12730,2745,2940,1105,851,37,497502,3085,3847,310,469,87,2044,1938,59,11499,4043,148,204989,4575,519065,207,107432,132696,5083,292513
Kozhikode,32,775,7,85,504,11,59,73,41,3288,31,3,0,3,292,566400,74,836,69,36,80,67,3043,150410,227,743070,223,1720,21,16,10,19,336,2339,123,430,15,26260,13881,746506,6,564,28,329,716810
Etawah,1,36,5,72,1390,21,158,5,1,119,9,0,2,2,717,174302,2,280,240,18,14,152,8,45,0,338940,14137,275,75,4,0,23,58,1,174,764,1,19510,49,339074,12,145128,227,547,319430
Bhiwani,1,105,4,267,2367,313,2024,6,3,3954,8,0,1,1,3570,213547,9,326,146046,285,79,506,37,50,0,434828,996,286,21,15,14,13,433,1,3086,47729,19,75235,110,438799,8,11038,633,888,359593
East_Godavari,222,195465,79,264,560,19,212,8,38,932,11,16,1,0,220,1335673,10,591,58,17,35,57,1451,1202,4,1549191,364,1465,59,38,0,4,2566,1089,114,2705,4,18053,3112,1550196,44,511,37,939,1531138
Ratnagiri,2,1280,9,79,2448,19,178,74,81,1129,158,7,5,16,178,549735,683,3244,166,65,101,812,33790,1711,0,728169,826,121698,20,0,0,5,1123,6,477,1533,1,56736,691,729618,0,5167,116,1985,671433
Mahoba,2,8,1,37,149,1,83,12,5,29,0,0,0,0,129,91976,0,36,47,226,22,40,18,9,0,188714,38161,151,0,4,8,1052,195,0,47,61,0,40663,4,188760,7,56075,96,69,148051
Vidisha,1,55,0,6,269,1,1395,0,1,260,0,0,1,0,124,237966,2,201,113,20,9,45,35,173,0,362258,110767,1189,6,0,0,2,134,0,129,1144,2,13525,59,362520,2,8108,61,239,348733
Mahasamund,2,269,0,42,828,42,57131,3,0,124,1,4,0,0,68,209976,0,329,390,19,2707,280,34,90,0,296669,1689,892,2,0,0,0,20010,0,210,298,0,29562,70,296801,0,999,12,280,267107
Munger,1,58,1,336,104397,3,44,0,11,188,35,8,0,0,130,141881,0,318,31,1,19,5675,40,35,10,258028,93,59,4,6,0,1,138,0,138,67,3,11750,60,258282,1,1108,66,3304,246278
Jhajjar,4,269,10,593,7405,367,9312,7,4,2047,3,0,6,4,26688,92200,8,178,132992,313,255,327,48,144,0,325118,1484,441,0,6,1,2,500,2,2546,11904,4,99926,98,327179,27,31328,959,4693,225192
Sonitpur,2,311,886,83856,8648,109,59,9,2,6590,9,0,0,0,386,282479,8,233,638,161,282,970,243,429,0,393163,310,563,195,423,54,282,482,3,761,1736,42,26828,260,399773,338,3735,372,3907,366335
Gopalganj,1,16,33,627,112181,20,47,11,12,500,8,2,2,0,266,373231,1,300,101,16,19,2388,37,37,0,545662,377,261,4,14,16,6,70,1,160,107,7,60250,16,546201,3,53025,31,2241,485412
Dhule,6,1344,7,21,459,29,161,7,2,1102,3,0,16,5,289,511107,18,10963,89,36,71,108,574,396,0,781294,22949,226374,6,2,1,2,308,2,497,2174,2,43813,157,782408,5,2824,63,229,737481
Rajsamand,1,532,0,31,723,8,39,1,0,153,0,0,1,2,159,211538,10,2294,288,55,29,91,213,283,0,312234,2474,1060,0,4,0,2,47,1,238,90238,0,10458,65,312388,1,1351,101,355,301776
Jaipur,24,1668,36,1961,20734,839,905,129,87,14920,89,47,7,6,16257,709221,65,11198,26118,1272,1256,2724,1001,4461,1,1422635,13792,7200,232,164,10,137,1290,45,7807,498548,67,214866,1279,1437908,157,64285,6693,21175,1207769
Udaipur,5,2765,0,122,2130,71,252,18,10,2239,9,4,0,2,1004,572924,25,16635,837,136,143,383,408,1535,0,727701,7934,2530,6,15,4,8,318,3,836,108294,5,46483,458,729981,14,5926,730,1243,681218
Korba,15,1563,8,231,11802,147,163448,53,5,517,16,17,3,5,424,175609,7,455,1363,197,122,5636,165,1541,0,398171,13847,2189,19,5,0,4,4203,2,1198,659,9,59114,494,398779,24,9077,250,3450,339057
Alwar,2,259,12,502,9401,144,615,17,20,6711,14,19,3,0,6237,523959,10,747,120447,561,242,953,223,234,0,841350,2136,846,21,59,1,10,459,53,3344,146203,9,171188,98,848131,59,20632,1087,1782,670162
Basti,2,33,19,135,2213,5,3610,4,11,421,16,5,1,2,215,407024,11,96,54,69,10,2333,42,60,0,515892,272,708,3,3,4,1,232,0,74,142,0,12532,30,516349,14,96336,157,1982,503360
Mirzapur,0,23,12,58,6273,9,571,11,3,136,5,3,0,0,104,346562,2,90,107,8,19,2386,10,107,0,518528,11089,263,17,3,2,2971,172,0,91,200,0,25931,20,518686,2,146035,233,1089,492597
Faridabad,20,1710,35,1196,63746,4643,4167,109,52,22295,68,12,20,13,71640,198666,75,1327,103169,5195,2513,3953,654,4741,1,875375,7309,3887,76,107,4,36,2860,22,24333,44881,60,573540,1205,897913,49,287214,19226,16622,301835
Buxar,1,10,0,104,83661,2,20,0,5,52,4,1,0,0,48,245487,0,300,103,1,7,1785,21,89,0,360053,126,77,8,12,0,2,58,1,44,51,4,30905,23,360115,0,26664,31,1313,329148
Gurdaspur,17,1010,39,1168,4538,1327,2819,34,53,45447,45,6,1,0,2731,493691,27,785,4180,23579,22970,959,588,707,0,684239,1692,1796,34,76,14,48,833,5,99148,4014,59,91400,885,729824,22,9191,2374,2912,592839
Damoh,0,96,8,20,446,4,1075,0,5,270,0,0,0,0,219,228486,0,243,149,14,26,66,60,147,0,325049,89840,476,0,1,0,0,62,0,195,611,0,6723,43,325324,0,2515,44,203,318326
Baran,0,58,1,7,461,20,70,1,1,1473,1,2,0,0,140,198013,3,358,178,69,29,30,6,138,0,290921,30509,390,0,0,0,0,67,0,612,57731,0,35177,47,292399,4,1631,71,278,255744
Neemuch,0,13452,10,130,763,40,609,1,1,539,0,0,0,0,363,110630,3,1097,432,86,156,166,112,314,0,238581,59650,1177,44,26,5,13,173,0,332,45734,0,68301,133,239122,23,2366,154,388,170280
Kurnool,24,114851,8,7,127,11,52,3,22,169,15,0,0,0,50,851122,6,290,23,1,15,34,24310,975,0,996879,76,1077,0,0,0,1,269,20,35,1147,0,30906,1867,997088,0,217,1,263,965973
Ambedkar_Nagar,3,65,7,91,1238,26,3233,5,3,95,6,113,0,0,229,377334,1,115,105,35,51,2831,70,56,0,506991,236,471,0,1,1,1,823,0,114,136,3,11214,11,507213,18,118443,64,1179,495777
Saraikela_Kharsawan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kottayam,22,686,44,181,177,25,114,237,264,2586,336,12,0,1,489,387356,59,328,90,16,42,106,1107,199747,17,605706,287,1246,21,15,14,60,194,46,117,228,13,18603,12190,609143,13,340,40,275,587103
Upper_Dibang_Valley,5,7,4178,8342,1446,0,2,0,0,1882,0,3,0,0,11,12298,0,1,42,3,3,686,4,91,0,28625,8,11,271,76,6,160,73,0,7,134,39,12149,4,30510,51,271,16,379,16476
Gonda,0,36,1,241,3858,29,1618,2,10,800,4,4,0,1,480,535296,5,416,221,36,57,4352,59,84,0,687001,510,617,5,6,4,18,192,0,606,240,0,16266,39,687821,5,135439,398,2132,670735
North_Goa,60,2658,9,163,2248,89,207,1276,166,3600,867,32,34,186,859,321845,34968,1611,280,152,624,631,51066,4680,0,472656,794,37069,37,33,4,24,1041,80,311,1464,6,115843,2270,478597,14,5330,210,1599,356813
Mahe,7,70,0,0,0,0,0,9,3,170,10,0,0,0,9,621,1,12,2,4,1,0,91,8938,2,10304,7,66,0,0,0,1,3,181,4,6,0,9502,226,10496,0,31,0,21,802
Garhwa,1,14,2,9,10037,67,4231,9,1,29,2,13,0,0,29,213535,4,92,87,3,12,34420,226,62,0,272844,533,56,1,8,0,1,141,3,18,26,0,24889,12,272898,3,8847,119,245,247955
Kancheepuram,147,7866,20,247,747,101,32,63,69,2651,89,8,7,0,954,616309,43,535,311,88,212,39,4190,9648,1,1035619,416,2177,66,13,28,29,450,3320,451,1523,59,36077,383233,1038499,7,1341,93,916,999542
Indore,12,3296,34,728,8636,280,9786,131,50,11094,70,20,78,5,3572,267944,134,11014,2676,492,1267,1308,1389,3834,0,844905,385464,41373,63,50,10,43,1604,44,5512,35982,63,191497,1836,856300,46,49190,1948,5192,653408
Cuddapah,84,88994,1,13,144,6,20,0,11,145,3,0,0,0,36,625708,9,68,24,6,15,10,2300,594,1,722221,30,539,1,0,0,0,76,7,26,560,0,7519,2708,722380,0,162,5,74,714702
